index,Prediction,Actual,Date
0,58007.6,63326.98828,7/11/2021
1,58249.047,67566.82813,8/11/2021
2,59518.49,66971.82813,9/11/2021
3,61346.117,64995.23047,10/11/2021
4,62597.61,64949.96094,11/11/2021
5,61785.945,64155.94141,12/11/2021
6,60863.67,64469.52734,13/11/2021
7,60666.277,65466.83984,14/11/2021
8,60582.742,63557.87109,15/11/2021
9,60712.516,60161.24609,16/11/2021
10,60076.008,60368.01172,17/11/2021
11,58397.79,56942.13672,18/11/2021
12,56641.77,58119.57813,19/11/2021
13,55949.895,59697.19531,20/11/2021
14,55182.266,58730.47656,21/11/2021
15,55925.06,56289.28906,22/11/2021
16,55922.47,57569.07422,23/11/2021
17,55069.56,56280.42578,24/11/2021
18,54310.105,57274.67969,25/11/2021
19,54585.65,53569.76563,26/11/2021
20,53851.867,54815.07813,27/11/2021
21,53409.152,57248.45703,28/11/2021
22,52695.523,57806.56641,29/11/2021
23,53881.164,57005.42578,30/11/2021
24,54837.902,57229.82813,1/12/2021
25,54864.844,56477.81641,2/12/2021
26,54516.973,53598.24609,3/12/2021
27,53999.746,49200.70313,4/12/2021
28,52352.586,49368.84766,5/12/2021
29,50191.94,50582.625,6/12/2021
30,48835.855,50700.08594,7/12/2021
31,49213.953,50822.19531,24/12/2021
32,49689.023,50429.85938,25/12/2021
33,49710.062,50809.51563,26/12/2021
34,49704.125,50640.41797,27/12/2021
35,49638.566,47588.85547,28/12/2021
36,49330.69,46444.71094,29/12/2021
37,48361.95,47178.125,30/12/2021
38,47124.008,46306.44531,31/12/2021
39,46802.83,47686.8125,1/01/2022
40,47014.75,47345.21875,2/01/2022
41,47009.234,46458.11719,3/01/2022
42,47285.125,45897.57422,4/01/2022
43,46883.355,43569.00391,5/01/2022
44,46159.65,43160.92969,6/01/2022
45,45373.01,41557.90234,7/01/2022
46,44324.043,50504.79688,8/12/2021
47,44896.945,47672.12109,9/12/2021
48,46124.7,47243.30469,10/12/2021
49,48438.07,49362.50781,11/12/2021
50,47623.52,50098.33594,12/12/2021
51,48089.918,46737.48047,13/12/2021
52,48576.258,46612.63281,14/12/2021
53,47985.312,48896.72266,15/12/2021
54,47091.332,47665.42578,16/12/2021
55,47448.02,46202.14453,17/12/2021
56,47745.984,46848.77734,18/12/2021
57,47049.85,46707.01563,19/12/2021
58,46691.605,46880.27734,20/12/2021
59,46898.273,48936.61328,21/12/2021
60,47150.875,48628.51172,22/12/2021
61,47672.12,50784.53906,23/12/2021
62,48585.266,41733.94141,8/01/2022
63,47848.17,41911.60156,9/01/2022
64,46414.863,41821.26172,10/01/2022
65,43482.65,42735.85547,11/01/2022
66,43626.203,43949.10156,12/01/2022
67,43948.23,42591.57031,13/01/2022
68,44358.81,43099.69922,14/01/2022
69,44500.555,43177.39844,15/01/2022
70,44187.33,43113.87891,16/01/2022
71,44361.715,42250.55078,17/01/2022
72,44269.223,42375.63281,18/01/2022
73,44066.156,41744.32813,19/01/2022
74,43743.117,40680.41797,20/01/2022
75,43515.297,36457.31641,21/01/2022
76,42590.754,35030.25,22/01/2022
77,41189.3,36276.80469,23/01/2022
78,39773.094,36654.32813,24/01/2022
79,39653.902,36954.00391,25/01/2022
80,40127.844,36852.12109,26/01/2022
81,40290.33,37138.23438,27/01/2022
82,40388.594,37784.33203,28/01/2022
83,40488.414,38138.17969,29/01/2022
84,40747.992,37917.60156,30/01/2022
85,40992.06,38483.125,31/01/2022
86,41114.016,38743.27344,1/02/2022
87,41196.87,36952.98438,2/02/2022
88,41224.8,37154.60156,3/02/2022
89,40944.727,41500.875,4/02/2022
90,40929.54,41441.16406,5/02/2022
91,41917.88,42412.43359,6/02/2022
92,43372,43840.28516,7/02/2022
93,43740.18,44118.44531,8/02/2022
94,44411.8,44338.79688,9/02/2022
95,44967.74,43565.11328,10/02/2022
96,45016.49,42407.9375,11/02/2022
97,44769.188,42244.46875,12/02/2022
98,44231.973,42197.51563,13/02/2022
99,43817.16,42586.91797,14/02/2022
100,43800.176,44575.20313,15/02/2022
101,44109.543,43961.85938,16/02/2022
102,44619.06,40538.01172,17/02/2022
103,44713.32,40030.97656,18/02/2022
104,43672.363,40122.15625,19/02/2022
105,42490.766,38431.37891,20/02/2022
,,,
